company,category,size,title,level,city,url,updated,filename
Varonis Systems,Cybersecurity,l,Data Scientist,Scientist,הרצליה,https://il.linkedin.com/jobs/view/data-scientist-at-varonis-4033158536?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Seeking Alpha,Digital Media,l,Senior Data Scientist,Scientist,רעננה,https://il.linkedin.com/jobs/view/senior-data-scientist-at-seeking-alpha-4049330532?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Bright Data,AdTech,l,Head of AI,Executive,נתניה,https://il.linkedin.com/jobs/view/head-of-ai-at-bright-data-4049327629?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Mentee Robotics,Robotics & Automation,s,Computer Vision Engineer,Scientist,הרצליה,https://il.linkedin.com/jobs/view/computer-vision-engineer-at-mentee-robotics-4051559536?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Amdocs,Telecommunications,l,Generative AI Developer,Scientist,רעננה,https://il.linkedin.com/jobs/view/generative-ai-developer-at-amdocs-3996144761?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
DeepKeep,Cybersecurity,s,Senior Computer Vision researcher,Scientist,רחובות,https://il.linkedin.com/jobs/view/senior-computer-vision-researcher-at-deepkeep-4048065130?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Rafael Advanced Defense Systems,Aerospace,l,Computer Vision Engineer,Scientist,חיפה,https://il.linkedin.com/jobs/view/computer-vision-engineer-at-rafael-advanced-defense-systems-4028338151?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Google,Digital Media,xl,"Senior Software Engineer, Natural Language Processing, Google Research",Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/senior-software-engineer-natural-language-processing-google-research-at-google-4032307767?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
Google,Digital Media,xl,"Exploratory Data Analysis AI Technology Lead, Google Cloud",Manager,תל אביב - יפו,https://il.linkedin.com/jobs/view/exploratory-data-analysis-ai-technology-lead-google-cloud-at-google-4049084757?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-15,jobs/data-science.csv
CEVA,Productivity,l,EdgeAI NPU developer (Embedded C/C++),Scientist,הרצליה,https://www.comeet.com/jobs/ceva/76.005/edgeai-npu-developer-embedded-cc/F1.34F?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
Moon Active,Gaming,l,Data Science Team Leader,Manager,תל אביב - יפו,https://www.comeet.com/jobs/moonactive/A2.00C/data-science-team-leader/00.E1B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
DriveNets,Productivity,l,AI  Networking System Engineer,Scientist,רעננה,https://www.comeet.com/jobs/drivenets/72.006/ai--networking-system-engineer/79.641?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
Okoora,Fintech,s,Freelance AI-assisted Content Writer,Scientist,בני ברק,https://www.comeet.com/jobs/okoora/85.00C/freelance-ai-assisted-content-writer/70.C4E?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
Retym,Productivity,s,Algorithm Engineer (ECC),Scientist,תל אביב - יפו,https://www.comeet.com/jobs/retym/C6.003/algorithm-engineer-ecc/48.A42?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
CytoReason,AI/ML,m,Senior Bioinformatics scientist,Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/senior-bioinformatics-scientist-at-cytoreason-4048414202?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
Melio,Fintech,l,AML Analyst,Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/aml-analyst-at-melio-4030359867?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
Valerann,IoT,s,Computer Vision Algorithms Developer (Cloud),Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/computer-vision-algorithms-developer-cloud-at-valerann-4050979333?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
G-STAT,AI/ML,m,Senior Data Scientist,Scientist,פתח תקווה,https://il.linkedin.com/jobs/view/senior-data-scientist-at-g-stat-4047814985?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
Palo Alto Networks,Cybersecurity,xl,Principal Data Scientist -  Agent Team (Cortex),Scientist,תל אביב - יפו,https://il.linkedin.com/jobs/view/principal-data-scientist-agent-team-cortex-at-palo-alto-networks-4051086717?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-14,jobs/data-science.csv
Earnix,Fintech,l,Algorithm Developer,Scientist,רמת גן,https://il.linkedin.com/jobs/view/algorithm-developer-at-earnix-4050677181?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-13,jobs/data-science.csv
CONTROP Precision Technologies,Aerospace,l,ML Research Engineer,Scientist,הוד השרון,https://il.linkedin.com/jobs/view/ml-research-engineer-at-controp-precision-technologies-ltd-4047342783?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply,2024-10-13,jobs/data-science.csv
